n,k,caso,p,disponibilidade_analitica,disponibilidade_experimental,sucessos,rodadas,erro_absoluto
4,1,consulta (k=1),0.5,0.9375,0.93639,93639,100000,0.0011100000000000554
4,2,maioria (k=ceil(n/2)),0.5,0.6875,0.68943,68943,100000,0.0019299999999999873
4,4,atualizacao (k=n),0.5,0.0625,0.06222,6222,100000,0.00028000000000000247
4,1,consulta (k=1),0.7,0.9919,0.99196,99196,100000,5.999999999994898e-05
4,2,maioria (k=ceil(n/2)),0.7,0.9162999999999999,0.91657,91657,100000,0.0002700000000001035
4,4,atualizacao (k=n),0.7,0.24009999999999995,0.23792,23792,100000,0.0021799999999999597
4,1,consulta (k=1),0.8,0.9984,0.99854,99854,100000,0.000140000000000029
4,2,maioria (k=ceil(n/2)),0.8,0.9728000000000001,0.97305,97305,100000,0.00024999999999986144
4,4,atualizacao (k=n),0.8,0.4096000000000001,0.40999,40999,100000,0.00038999999999994595
4,1,consulta (k=1),0.9,0.9999,0.99987,99987,100000,2.999999999997449e-05
4,2,maioria (k=ceil(n/2)),0.9,0.9963,0.99636,99636,100000,6.0000000000060005e-05
4,4,atualizacao (k=n),0.9,0.6561,0.65207,65207,100000,0.004029999999999978
4,1,consulta (k=1),0.95,0.99999375,1.0,100000,100000,6.249999999985434e-06
4,2,maioria (k=ceil(n/2)),0.95,0.99951875,0.99954,99954,100000,2.124999999997268e-05
4,4,atualizacao (k=n),0.95,0.8145062499999999,0.81287,81287,100000,0.0016362499999998947
4,1,consulta (k=1),0.99,0.99999999,1.0,100000,100000,1.0000000050247593e-08
4,2,maioria (k=ceil(n/2)),0.99,0.9999960299999999,0.99999,99999,100000,6.0299999998791876e-06
4,4,atualizacao (k=n),0.99,0.96059601,0.96076,96076,100000,0.00016399000000000274
8,1,consulta (k=1),0.5,0.99609375,0.99598,99598,100000,0.00011375000000002355
8,4,maioria (k=ceil(n/2)),0.5,0.63671875,0.6385,63850,100000,0.0017812499999999565
8,8,atualizacao (k=n),0.5,0.00390625,0.00373,373,100000,0.0001762500000000002
8,1,consulta (k=1),0.7,0.99993439,0.99988,99988,100000,5.438999999995975e-05
8,4,maioria (k=ceil(n/2)),0.7,0.94203235,0.94191,94191,100000,0.00012234999999993779
8,8,atualizacao (k=n),0.7,0.05764800999999997,0.05683,5683,100000,0.0008180099999999732
8,1,consulta (k=1),0.8,0.99999744,0.99999,99999,100000,7.439999999969693e-06
8,4,maioria (k=ceil(n/2)),0.8,0.9895936000000001,0.98978,98978,100000,0.00018639999999991996
8,8,atualizacao (k=n),0.8,0.1677721600000001,0.1683,16830,100000,0.0005278399999999184
8,1,consulta (k=1),0.9,0.99999999,1.0,100000,100000,1.0000000050247593e-08
8,4,maioria (k=ceil(n/2)),0.9,0.99956835,0.99966,99966,100000,9.164999999999868e-05
8,8,atualizacao (k=n),0.9,0.4304672100000001,0.43214,43214,100000,0.001672789999999924
8,1,consulta (k=1),0.95,0.9999999999609375,1.0,100000,100000,3.906253098762136e-11
8,4,maioria (k=ceil(n/2)),0.95,0.9999845951171875,0.99999,99999,100000,5.40488281253193e-06
8,8,atualizacao (k=n),0.95,0.6634204312890623,0.66065,66065,100000,0.0027704312890622917
8,1,consulta (k=1),0.99,0.9999999999999999,1.0,100000,100000,1.1102230246251565e-16
8,4,maioria (k=ceil(n/2)),0.99,0.9999999945388035,1.0,100000,100000,5.461196495026854e-09
8,8,atualizacao (k=n),0.99,0.9227446944279201,0.92277,92277,100000,2.5305572079914462e-05
12,1,consulta (k=1),0.5,0.999755859375,0.99971,99971,100000,4.585937500001247e-05
12,6,maioria (k=ceil(n/2)),0.5,0.61279296875,0.61247,61247,100000,0.0003229687500000411
12,12,atualizacao (k=n),0.5,0.000244140625,0.00032,32,100000,7.585937500000003e-05
12,1,consulta (k=1),0.7,0.999999468559,0.99999,99999,100000,9.4685589999699e-06
12,6,maioria (k=ceil(n/2)),0.7,0.961399156942,0.96151,96151,100000,0.00011084305800002081
12,12,atualizacao (k=n),0.7,0.01384128720099999,0.0135,1350,100000,0.0003412872009999901
12,1,consulta (k=1),0.8,0.999999995904,1.0,100000,100000,4.095999983633192e-09
12,6,maioria (k=ceil(n/2)),0.8,0.9960968683520001,0.99621,99621,100000,0.00011313164799997555
12,12,atualizacao (k=n),0.8,0.06871947673600004,0.06947,6947,100000,0.0007505232639999637
12,1,consulta (k=1),0.9,0.999999999999,1.0,100000,100000,9.999778782798785e-13
12,6,maioria (k=ceil(n/2)),0.9,0.999949819662,0.99996,99996,100000,1.0180337999932121e-05
12,12,atualizacao (k=n),0.9,0.2824295364810001,0.28281,28281,100000,0.00038046351899989617
12,1,consulta (k=1),0.95,0.9999999999999998,1.0,100000,100000,2.220446049250313e-16
12,6,maioria (k=ceil(n/2)),0.95,0.9999995050995268,1.0,100000,100000,4.949004731580331e-07
12,12,atualizacao (k=n),0.95,0.5403600876626367,0.53963,53963,100000,0.0007300876626366026
12,1,consulta (k=1),0.99,1.0,1.0,100000,100000,0.0
12,6,maioria (k=ceil(n/2)),0.99,0.9999999999924204,1.0,100000,100000,7.579603611418406e-12
12,12,atualizacao (k=n),0.99,0.8863848717161292,0.88694,88694,100000,0.0005551282838707206
16,1,consulta (k=1),0.5,0.9999847412109375,0.99999,99999,100000,5.25878906254551e-06
16,8,maioria (k=ceil(n/2)),0.5,0.5981903076171875,0.59888,59888,100000,0.0006896923828124679
16,16,atualizacao (k=n),0.5,1.52587890625e-05,2e-05,2,100000,4.741210937500002e-06
16,1,consulta (k=1),0.7,0.9999999956953279,1.0,100000,100000,4.3046720632489155e-09
16,8,maioria (k=ceil(n/2)),0.7,0.9743264699450275,0.97467,97467,100000,0.00034353005497256284
16,16,atualizacao (k=n),0.7,0.0033232930569600965,0.00341,341,100000,8.670694303990331e-05
16,1,consulta (k=1),0.8,0.9999999999934464,1.0,100000,100000,6.553646514362299e-12
16,8,maioria (k=ceil(n/2)),0.8,0.998524061745152,0.99864,99864,100000,0.00011593825484801368
16,16,atualizacao (k=n),0.8,0.028147497671065624,0.02883,2883,100000,0.0006825023289343778
16,1,consulta (k=1),0.9,0.9999999999999999,1.0,100000,100000,1.1102230246251565e-16
16,8,maioria (k=ceil(n/2)),0.9,0.9999940756769955,1.0,100000,100000,5.924323004502519e-06
16,16,atualizacao (k=n),0.9,0.18530201888518416,0.18564,18564,100000,0.0003379811148158385
16,1,consulta (k=1),0.95,1.0,1.0,100000,100000,0.0
16,8,maioria (k=ceil(n/2)),0.95,0.99999998380479,1.0,100000,100000,1.6195209950886635e-08
16,16,atualizacao (k=n),0.95,0.44012666865176536,0.44036,44036,100000,0.0002333313482346111
16,1,consulta (k=1),0.99,1.0,1.0,100000,100000,0.0
16,8,maioria (k=ceil(n/2)),0.99,0.9999999999999892,1.0,100000,100000,1.0769163338864018e-14
16,16,atualizacao (k=n),0.99,0.8514577710948755,0.85203,85203,100000,0.0005722289051244278
20,1,consulta (k=1),0.5,0.9999990463256836,1.0,100000,100000,9.5367431640625e-07
20,10,maioria (k=ceil(n/2)),0.5,0.5880985260009766,0.58868,58868,100000,0.0005814739990234186
20,20,atualizacao (k=n),0.5,9.5367431640625e-07,0.0,0,100000,9.5367431640625e-07
20,1,consulta (k=1),0.7,0.9999999999651321,1.0,100000,100000,3.486788635598259e-11
20,10,maioria (k=ceil(n/2)),0.7,0.9828551835687416,0.98263,98263,100000,0.00022518356874157153
20,20,atualizacao (k=n),0.7,0.0007979226629761189,0.0008,80,100000,2.0773370238810936e-06
20,1,consulta (k=1),0.8,0.9999999999999896,1.0,100000,100000,1.0436096431476471e-14
20,10,maioria (k=ceil(n/2)),0.8,0.9994365863023398,0.99948,99948,100000,4.3413697660255046e-05
20,20,atualizacao (k=n),0.8,0.011529215046068483,0.01154,1154,100000,1.0784953931516905e-05
20,1,consulta (k=1),0.9,1.0,1.0,100000,100000,0.0
20,10,maioria (k=ceil(n/2)),0.9,0.9999992911393668,1.0,100000,100000,7.088606331917546e-07
