n,k,caso,p,disponibilidade_analitica
4,1,consulta (k=1),0.5,0.9375
4,2,maioria (k=ceil(n/2)),0.5,0.6875
4,4,atualizacao (k=n),0.5,0.0625
4,1,consulta (k=1),0.7,0.9919
4,2,maioria (k=ceil(n/2)),0.7,0.9162999999999999
4,4,atualizacao (k=n),0.7,0.24009999999999995
4,1,consulta (k=1),0.8,0.9984
4,2,maioria (k=ceil(n/2)),0.8,0.9728000000000001
4,4,atualizacao (k=n),0.8,0.4096000000000001
4,1,consulta (k=1),0.9,0.9999
4,2,maioria (k=ceil(n/2)),0.9,0.9963
4,4,atualizacao (k=n),0.9,0.6561
4,1,consulta (k=1),0.95,0.99999375
4,2,maioria (k=ceil(n/2)),0.95,0.99951875
4,4,atualizacao (k=n),0.95,0.8145062499999999
4,1,consulta (k=1),0.99,0.99999999
4,2,maioria (k=ceil(n/2)),0.99,0.9999960299999999
4,4,atualizacao (k=n),0.99,0.96059601
8,1,consulta (k=1),0.5,0.99609375
8,4,maioria (k=ceil(n/2)),0.5,0.63671875
8,8,atualizacao (k=n),0.5,0.00390625
8,1,consulta (k=1),0.7,0.99993439
8,4,maioria (k=ceil(n/2)),0.7,0.94203235
8,8,atualizacao (k=n),0.7,0.05764800999999997
8,1,consulta (k=1),0.8,0.99999744
8,4,maioria (k=ceil(n/2)),0.8,0.9895936000000001
8,8,atualizacao (k=n),0.8,0.1677721600000001
8,1,consulta (k=1),0.9,0.99999999
8,4,maioria (k=ceil(n/2)),0.9,0.99956835
8,8,atualizacao (k=n),0.9,0.4304672100000001
8,1,consulta (k=1),0.95,0.9999999999609375
8,4,maioria (k=ceil(n/2)),0.95,0.9999845951171875
8,8,atualizacao (k=n),0.95,0.6634204312890623
8,1,consulta (k=1),0.99,0.9999999999999999
8,4,maioria (k=ceil(n/2)),0.99,0.9999999945388035
8,8,atualizacao (k=n),0.99,0.9227446944279201
12,1,consulta (k=1),0.5,0.999755859375
12,6,maioria (k=ceil(n/2)),0.5,0.61279296875
12,12,atualizacao (k=n),0.5,0.000244140625
12,1,consulta (k=1),0.7,0.999999468559
12,6,maioria (k=ceil(n/2)),0.7,0.961399156942
12,12,atualizacao (k=n),0.7,0.01384128720099999
12,1,consulta (k=1),0.8,0.999999995904
12,6,maioria (k=ceil(n/2)),0.8,0.9960968683520001
12,12,atualizacao (k=n),0.8,0.06871947673600004
12,1,consulta (k=1),0.9,0.999999999999
12,6,maioria (k=ceil(n/2)),0.9,0.999949819662
12,12,atualizacao (k=n),0.9,0.2824295364810001
12,1,consulta (k=1),0.95,0.9999999999999998
12,6,maioria (k=ceil(n/2)),0.95,0.9999995050995268
12,12,atualizacao (k=n),0.95,0.5403600876626367
12,1,consulta (k=1),0.99,1.0
12,6,maioria (k=ceil(n/2)),0.99,0.9999999999924204
12,12,atualizacao (k=n),0.99,0.8863848717161292
16,1,consulta (k=1),0.5,0.9999847412109375
16,8,maioria (k=ceil(n/2)),0.5,0.5981903076171875
16,16,atualizacao (k=n),0.5,1.52587890625e-05
16,1,consulta (k=1),0.7,0.9999999956953279
16,8,maioria (k=ceil(n/2)),0.7,0.9743264699450275
16,16,atualizacao (k=n),0.7,0.0033232930569600965
16,1,consulta (k=1),0.8,0.9999999999934464
16,8,maioria (k=ceil(n/2)),0.8,0.998524061745152
16,16,atualizacao (k=n),0.8,0.028147497671065624
16,1,consulta (k=1),0.9,0.9999999999999999
16,8,maioria (k=ceil(n/2)),0.9,0.9999940756769955
16,16,atualizacao (k=n),0.9,0.18530201888518416
16,1,consulta (k=1),0.95,1.0
16,8,maioria (k=ceil(n/2)),0.95,0.99999998380479
16,16,atualizacao (k=n),0.95,0.44012666865176536
16,1,consulta (k=1),0.99,1.0
16,8,maioria (k=ceil(n/2)),0.99,0.9999999999999892
16,16,atualizacao (k=n),0.99,0.8514577710948755
20,1,consulta (k=1),0.5,0.9999990463256836
20,10,maioria (k=ceil(n/2)),0.5,0.5880985260009766
20,20,atualizacao (k=n),0.5,9.5367431640625e-07
20,1,consulta (k=1),0.7,0.9999999999651321
20,10,maioria (k=ceil(n/2)),0.7,0.9828551835687416
20,20,atualizacao (k=n),0.7,0.0007979226629761189
20,1,consulta (k=1),0.8,0.9999999999999896
20,10,maioria (k=ceil(n/2)),0.8,0.9994365863023398
20,20,atualizacao (k=n),0.8,0.011529215046068483
20,1,consulta (k=1),0.9,1.0
20,10,maioria (k=ceil(n/2)),0.9,0.9999992911393668
20,20,atualizacao (k=n),0.9,0.12157665459056935
20,1,consulta (k=1),0.95,1.0
20,10,maioria (k=ceil(n/2)),0.95,0.9999999994620399
20,20,atualizacao (k=n),0.95,0.3584859224085419
20,1,consulta (k=1),0.99,1.0
20,10,maioria (k=ceil(n/2)),0.99,1.0
20,20,atualizacao (k=n),0.99,0.8179069375972308
